athleteName;swissAthleticsDBId
Jan Hausheer;CONTACT.WEB.153132
Dario Lauener;a21aa-ykp7tt-jugbdsd0-1-jvjjsht9-6o31
Matteo Brandt;a21aa-ykp7tt-jugbdsd0-1-jvjjojc6-6o1w
Hannes Otth;CONTACT.WEB.153137
Jan Richert;a21aa-ykp7tt-jugbdsd0-1-jvjk2m1v-6o50
Morris Mathys;a21aa-ykp7tt-jugbdsd0-1-jvjjutln-6o35
Silvan Schlatter;CONTACT.WEB.157490
Nik Steuri;a21aa-ykp7tt-jugbdsd0-1-jvjkalvr-6o6s
Jari Abegglen;CONTACT.WEB.157497
Dominic Hurni;CONTACT.WEB.157486
Matti Vögeli;a21aa-ykp7tt-jugbdsd0-1-jvjkcvkx-6o74
Andreas Ruchti;a21aa-ykp7tt-jugbdsd0-1-jvjk5crv-6o5w
Ned O'Brien;a21aa-ykp7tt-jugbdsd0-1-jvjjx7m4-6o39
Gregor Otth;a21aa-ykp7tt-jugbdsd0-1-jvjjzoqr-6o3z
